633,175,144,63,90,65,124,59,82,71,114,94,107,107,201,222,334,441,782,1425,5730,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
990,319,181,108,117,198,162,61,36,111,70,97,103,156,127,184,339,388,741,1878,5544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1505,483,255,125,115,105,153,62,67,84,46,87,83,102,112,157,255,729,1045,1103,2315,3589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1474,677,417,472,561,454,216,143,210,126,143,53,50,117,117,187,137,414,778,1311,4403,1775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1819,522,184,249,119,132,114,71,142,136,141,68,144,170,310,307,363,235,359,1186,3923,2641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1737,1044,474,565,495,499,372,315,222,282,218,264,361,420,496,715,862,904,890,2444,2914,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1371,613,393,332,283,363,289,297,513,565,812,688,606,592,722,873,1298,1477,1376,1739,1024,1425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,983,658,685,455,394,481,612,408,382,418,632,501,529,523,372,345,507,1321,2024,2868,1223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2432,1047,724,541,360,378,493,332,332,402,295,415,344,251,110,112,85,342,841,1690,3156,3098,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1532,844,557,405,304,176,217,361,556,477,688,652,962,1222,1594,1601,2009,1499,842,1067,1321,1732,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2220,1300,1018,591,465,421,473,437,337,327,398,468,536,561,681,963,953,1145,1063,705,1491,2247,1578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2056,1422,892,712,482,665,714,622,628,653,568,781,560,475,454,517,467,555,578,736,1544,4426,855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2214,1462,1220,760,501,544,693,657,625,523,428,469,570,783,699,648,770,1022,1638,1928,947,1586,1928,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2627,1266,952,923,850,698,725,670,897,806,654,443,392,531,582,509,648,636,674,1348,2291,2694,1857,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
