1.0,31,1.359596
1.0,40,1.361829
1.0,43,1.392187
1.0,48,1.285078
1.0,8,0.597433
1.0,104,1.720296
1.0,114,1.158665
1.0,8,0.594543
1.0,16,0.532462
1.0,150,3.123628
1.0,152,1.47731
1.0,124,1.491164
1.0,205,2.052022
1.0,69,0.945368
1.0,49,0.888793
1.0,237,2.036751
1.0,109,1.07103
1.0,240,2.392679
1.0,14,0.683237
1.0,254,2.580584
1.0,21,0.638501
1.0,25,0.72886
1.0,251,2.098941
1.0,56,1.146837
1.0,39,1.225487
1.0,13,0.561931
1.0,336,2.100449
1.0,18,0.552791
1.0,134,1.219085
1.0,345,1.811074
1.0,15,0.608744
1.0,90,1.208897
1.0,267,1.919789
1.0,426,1.707594
1.0,6,0.398386
1.0,452,2.777571
1.0,283,1.679517
1.0,182,1.829817
1.0,98,1.888345
1.0,16,0.523292
1.0,51,0.865849
1.0,6,0.387422
1.0,244,2.079457
1.0,68,1.567195
1.0,6,0.514292
1.0,302,2.342563
1.0,215,1.78525
1.0,17,0.476747
1.0,571,2.292486
1.0,20,0.651378
1.0,580,2.316294
1.0,55,1.19072
1.0,535,2.858076
1.0,157,2.185282
1.0,10,0.62045
1.0,276,1.548299
1.0,109,1.597702
1.0,27,0.861461
1.0,175,2.667825
1.0,471,2.456159
1.0,59,1.06828
1.0,356,2.766745
1.0,96,1.071355
1.0,165,1.832954
1.0,8,0.509398
1.0,136,2.238156
1.0,23,0.653141
1.0,393,1.621122
1.0,281,2.996125
1.0,159,2.33084
1.0,68,1.004542
1.0,193,1.990902
1.0,17,0.690603
1.0,205,1.89198
1.0,25,0.848571
1.0,827,2.712291
1.0,828,2.99574
1.0,20,0.910709
1.0,10,0.477156
1.0,203,1.802335
1.0,364,2.397735
1.0,34,0.822161
1.0,6,0.413546
1.0,151,2.338875
1.0,9,0.725452
1.0,375,3.958335
1.0,315,2.589337
1.0,287,2.39452
1.0,15,0.568819
1.0,18,0.623087
1.0,43,0.846771
1.0,24,0.796563
1.0,51,1.138495
1.0,82,1.19042
1.0,54,0.685306
1.0,34,0.847958
1.0,172,2.005119
1.0,9,0.498525
1.0,120,1.491937
1.0,531,1.952942
1.0,11,0.597827
1.0,428,2.474714
1.0,283,2.389996
1.0,66,1.328306
1.0,7,0.434684
1.0,33,0.739554
1.0,6,0.448423
1.0,11,0.459638
1.0,344,3.72358
1.0,379,2.170385
1.0,6,0.376743
1.0,49,0.90934
1.0,21,0.630313
1.0,6,0.475729
1.0,190,2.289954
1.0,29,0.757721
1.0,6,0.540743
1.0,16,0.671402
1.0,11,0.628309
1.0,103,1.658985
1.0,233,2.506447
1.0,8,0.420001
1.0,8,0.409917
1.0,61,0.987849
1.0,7,0.463933
1.0,6,0.517567
1.0,291,1.991946
1.0,14,0.549996
1.0,11,0.673708
1.0,15,0.583916
1.0,214,2.29904
1.0,53,0.941885
1.0,436,3.078564
1.0,18,0.804911
1.0,16,0.529293
1.0,635,3.366314
1.0,471,2.435313
1.0,12,0.609788
1.0,6,0.389628
1.0,211,1.990375
1.0,684,3.418668
1.0,107,1.573645
1.0,139,2.218823
1.0,21,0.673152
1.0,6,0.478877
1.0,10,0.53642
1.0,336,1.645187
1.0,222,1.571067
1.0,267,1.939013
1.0,48,0.898331
1.0,6,0.486965
1.0,644,2.890317
1.0,23,0.635046
1.0,256,1.63386
1.0,7,0.610996
1.0,619,2.802951
1.0,16,0.558127
1.0,201,1.863157
1.0,174,2.604656
1.0,53,1.590225
1.0,7,0.417294
1.0,25,0.585563
1.0,23,0.468862
1.0,169,1.771633
1.0,9,0.450223
1.0,258,1.577584
1.0,39,0.849843
1.0,20,0.674858
1.0,193,2.542093
1.0,71,1.488748
1.0,10,0.441848
1.0,12,0.607087
1.0,55,1.18088
1.0,13,0.532703
1.0,8,0.512909
1.0,7,0.508417
1.0,30,0.757
1.0,33,0.678131
1.0,17,0.574538
1.0,30,1.160122
1.0,18,1.090686
1.0,61,1.086398
1.0,48,1.59659
1.0,101,1.136647
1.0,71,1.877492
1.0,7,0.548606
1.0,622,2.719893
1.0,304,2.661383
1.0,163,1.89541
1.0,16,0.561715
1.0,17,0.73129
1.0,6,0.4567
1.0,16,0.632744
1.0,492,2.796382
1.0,176,1.996812
1.0,628,2.233298
1.0,52,1.043862
1.0,12,0.609987
1.0,6,0.464599
1.0,41,0.934951
1.0,507,3.136281
1.0,365,2.720916
1.0,35,1.154148
1.0,72,0.89183
1.0,33,0.79386
1.0,226,2.019445
1.0,118,1.746977
1.0,111,1.496531
1.0,59,1.256514
1.0,69,1.209419
1.0,84,1.986375
1.0,341,3.869391
1.0,11,0.578373
1.0,15,0.626412
1.0,6,0.413103
1.0,178,2.484128
1.0,310,3.176117
1.0,310,2.338687
1.0,332,2.690309
1.0,7,0.662799
1.0,14,0.809005
1.0,35,0.783436
1.0,6,0.501932
1.0,17,0.581334
1.0,200,1.939185
1.0,16,0.668964
1.0,84,0.941329
1.0,62,1.981583
1.0,7,0.403777
1.0,120,1.343575
1.0,6,0.577898
1.0,25,1.174309
1.0,8,0.396552
1.0,10,0.477111
1.0,7,0.432925
1.0,8,0.634026
1.0,46,0.857075
1.0,8,0.572284
1.0,339,2.48517
1.0,170,2.132073
1.0,178,2.899222
1.0,310,2.908746
1.0,9,0.516227
1.0,6,0.525497
1.0,24,0.761322
1.0,79,1.333383
1.0,109,1.912479
1.0,6,0.50483
1.0,465,3.674983
1.0,7,0.459353
1.0,220,2.378437
1.0,38,0.968729
1.0,6,0.42587
1.0,719,2.896519
1.0,11,0.599386
1.0,217,2.270166
1.0,1480,4.972394
1.0,29,0.95097
1.0,1074,3.459978
1.0,175,2.04715
1.0,497,3.122269
1.0,6,0.469111
1.0,8,0.497891
1.0,572,4.015852
1.0,10,0.577509
1.0,433,2.87241
1.0,7,0.464311
1.0,165,2.228056
1.0,123,1.730728
1.0,11,0.502947
1.0,21,0.82819
1.0,17,0.657604
1.0,455,2.94281
1.0,168,2.350359
1.0,1040,3.779913
1.0,405,2.296718
1.0,82,2.070973
1.0,36,0.774422
1.0,64,1.223927
