0.926996,10.098718,18.196798,8.987232,6.729757,9.703221,1.615636,0.971020,9.523418,19.977320,9.109259,1.224559,0.994014,0.987319,2.805193,35.187140,16.282283,24.230281,10.357857,0.959477
0.937851,10.209634,18.127762,9.787419,5.526762,9.730583,1.454072,1.026369,9.756310,20.083330,9.236217,1.129317,0.994014,0.987319,2.779070,35.954911,16.409241,24.729248,8.389864,1.015045
0.949971,11.200038,18.397044,9.184558,4.505604,8.757525,1.498333,1.165120,9.906991,20.530586,8.359748,1.016385,1.133190,0.987319,2.841903,36.698257,17.076408,24.857916,8.487327,0.913540
0.959289,11.453095,18.494129,9.267158,6.037001,7.212212,1.548113,1.165120,8.918604,20.677027,8.507326,0.914747,1.116956,0.987319,2.682361,36.698257,17.800150,24.837892,8.364674,0.914406
0.918042,11.020150,19.062008,9.635635,6.068435,6.490991,1.680043,0.965983,9.038576,20.889110,8.554435,0.924372,1.210647,0.987319,2.414125,37.452989,17.946416,25.099390,6.851195,0.961515
0.927440,11.852004,19.304577,9.729708,5.511676,6.413642,1.801390,0.965983,9.807923,21.588743,7.698991,0.924372,1.181441,0.987319,2.941152,37.196604,17.946416,22.710798,7.171095,0.970913
0.967933,11.916312,19.414426,8.825324,5.587883,5.805582,1.918341,1.073838,9.861584,19.667841,7.934404,0.978034,1.225843,0.921892,3.648389,36.810637,19.733736,23.064249,7.211588,1.007823
0.967933,14.221465,19.521571,7.942791,5.626733,5.909394,2.121874,0.966454,10.000300,19.856282,8.098102,0.978034,1.138148,1.017545,3.403757,36.782906,18.304427,23.181997,7.392638,1.068006
1.011251,16.598902,17.687009,8.022996,5.223523,6.067145,2.162030,0.988305,9.000270,20.072195,8.224478,1.073162,1.044258,1.102229,3.425608,36.937430,18.786720,23.542118,6.723402,0.980490
0.973588,16.900101,18.041719,8.112535,5.274685,6.312106,1.945827,0.998350,9.129128,20.077079,8.317105,0.975577,0.978149,0.930579,3.144072,36.975511,18.873381,23.664885,6.835641,0.990221
0.973588,16.989254,18.328466,8.256416,4.866750,6.389748,1.611685,1.094503,9.382493,20.384732,8.492828,1.021508,0.978149,1.019732,3.261131,38.735595,19.278902,21.409840,6.971922,1.101664
1.021552,17.439466,18.505507,8.302805,5.213696,6.447477,1.450516,1.184922,8.444244,20.842282,8.667220,0.961107,0.978149,0.947976,3.148184,38.663058,19.476549,21.541558,7.032109,0.991498
1.011652,17.739282,18.651570,7.472525,5.586161,6.491951,1.399636,1.298554,8.521626,21.413909,7.472489,0.961107,1.070237,0.966883,2.852273,38.882441,19.961699,21.655190,7.785648,1.094361
0.920882,19.502139,18.850937,7.604378,5.027545,8.418632,1.512226,1.179095,8.601854,19.441556,6.925635,0.961107,1.169347,1.084277,3.546419,39.176662,20.171270,20.137795,7.921589,0.984925
0.920882,19.401835,18.716092,7.815594,5.239573,8.592979,1.361004,1.239786,8.733846,19.578785,6.355008,0.961107,0.986754,1.141779,2.326805,39.104073,20.306754,20.571917,8.187620,0.994586
